CaseName,TimeStep,B0x,B0y,B0z,ns,__CatalystChannel__,TimeValue,ScalarField,FILE
GEM_2,2498,0.0195,0,0.0195,2,particles,624.5,Bz,data/GEM_2_2498_0.0195_0_0.0195_2_particles_624.5_Bz.vtu
GEM_2,2499,0.0195,0,0.0195,2,particles,624.75,mag(B),data/GEM_2_2499_0.0195_0_0.0195_2_particles_624.75_mag(B).vtu
GEM_2,2499,0.0195,0,0.0195,2,particles,624.75,Bz,data/GEM_2_2499_0.0195_0_0.0195_2_particles_624.75_Bz.vtu
GEM_2,2500,0.0195,0,0.0195,2,particles,625,mag(B),data/GEM_2_2500_0.0195_0_0.0195_2_particles_625_mag(B).vtu
GEM_2,2500,0.0195,0,0.0195,2,particles,625,Bz,data/GEM_2_2500_0.0195_0_0.0195_2_particles_625_Bz.vtu
GEM_3,0,0.0195,0,0.0195,4,particles,0,mag(B),data/GEM_3_0_0.0195_0_0.0195_4_particles_0_mag(B).vtu
GEM_3,0,0.0195,0,0.0195,4,particles,0,Bz,data/GEM_3_0_0.0195_0_0.0195_4_particles_0_Bz.vtu
GEM_3,2450,0.0195,0,0.0195,4,particles,612.5,mag(B),data/GEM_3_2450_0.0195_0_0.0195_4_particles_612.5_mag(B).vtu
GEM_3,2450,0.0195,0,0.0195,4,particles,612.5,Bz,data/GEM_3_2450_0.0195_0_0.0195_4_particles_612.5_Bz.vtu
GEM_3,2451,0.0195,0,0.0195,4,particles,612.75,mag(B),data/GEM_3_2451_0.0195_0_0.0195_4_particles_612.75_mag(B).vtu
GEM_3,2451,0.0195,0,0.0195,4,particles,612.75,Bz,data/GEM_3_2451_0.0195_0_0.0195_4_particles_612.75_Bz.vtu
GEM_3,2452,0.0195,0,0.0195,4,particles,613,mag(B),data/GEM_3_2452_0.0195_0_0.0195_4_particles_613_mag(B).vtu
GEM_3,2452,0.0195,0,0.0195,4,particles,613,Bz,data/GEM_3_2452_0.0195_0_0.0195_4_particles_613_Bz.vtu
GEM_3,2453,0.0195,0,0.0195,4,particles,613.25,mag(B),data/GEM_3_2453_0.0195_0_0.0195_4_particles_613.25_mag(B).vtu
GEM_3,2453,0.0195,0,0.0195,4,particles,613.25,Bz,data/GEM_3_2453_0.0195_0_0.0195_4_particles_613.25_Bz.vtu
GEM_3,2454,0.0195,0,0.0195,4,particles,613.5,mag(B),data/GEM_3_2454_0.0195_0_0.0195_4_particles_613.5_mag(B).vtu
GEM_3,2454,0.0195,0,0.0195,4,particles,613.5,Bz,data/GEM_3_2454_0.0195_0_0.0195_4_particles_613.5_Bz.vtu
GEM_3,2455,0.0195,0,0.0195,4,particles,613.75,mag(B),data/GEM_3_2455_0.0195_0_0.0195_4_particles_613.75_mag(B).vtu
GEM_3,2455,0.0195,0,0.0195,4,particles,613.75,Bz,data/GEM_3_2455_0.0195_0_0.0195_4_particles_613.75_Bz.vtu
GEM_3,2456,0.0195,0,0.0195,4,particles,614,mag(B),data/GEM_3_2456_0.0195_0_0.0195_4_particles_614_mag(B).vtu
GEM_3,2456,0.0195,0,0.0195,4,particles,614,Bz,data/GEM_3_2456_0.0195_0_0.0195_4_particles_614_Bz.vtu
GEM_3,2457,0.0195,0,0.0195,4,particles,614.25,mag(B),data/GEM_3_2457_0.0195_0_0.0195_4_particles_614.25_mag(B).vtu
GEM_3,2457,0.0195,0,0.0195,4,particles,614.25,Bz,data/GEM_3_2457_0.0195_0_0.0195_4_particles_614.25_Bz.vtu
GEM_3,2458,0.0195,0,0.0195,4,particles,614.5,mag(B),data/GEM_3_2458_0.0195_0_0.0195_4_particles_614.5_mag(B).vtu
GEM_3,2458,0.0195,0,0.0195,4,particles,614.5,Bz,data/GEM_3_2458_0.0195_0_0.0195_4_particles_614.5_Bz.vtu
GEM_3,2459,0.0195,0,0.0195,4,particles,614.75,mag(B),data/GEM_3_2459_0.0195_0_0.0195_4_particles_614.75_mag(B).vtu
GEM_3,2459,0.0195,0,0.0195,4,particles,614.75,Bz,data/GEM_3_2459_0.0195_0_0.0195_4_particles_614.75_Bz.vtu
GEM_3,2460,0.0195,0,0.0195,4,particles,615,mag(B),data/GEM_3_2460_0.0195_0_0.0195_4_particles_615_mag(B).vtu
GEM_3,2460,0.0195,0,0.0195,4,particles,615,Bz,data/GEM_3_2460_0.0195_0_0.0195_4_particles_615_Bz.vtu
GEM_3,2461,0.0195,0,0.0195,4,particles,615.25,mag(B),data/GEM_3_2461_0.0195_0_0.0195_4_particles_615.25_mag(B).vtu
GEM_3,2461,0.0195,0,0.0195,4,particles,615.25,Bz,data/GEM_3_2461_0.0195_0_0.0195_4_particles_615.25_Bz.vtu
